Sl. No.,States/ NES/ UTs,Name of the State/UT,Project Proposal Consider,Financial Progress (Rs in Crore) - Investment,Financial Progress (Rs in Crore) - Central Assistance,Financial Progress (Rs in Crore) - Central Assistance,Physical Progress (Nos) - Houses involved,Physical Progress (Nos) - Houses grounded,Physical Progress (Nos) - Houses Completed,Physical Progress (Nos) - Houses Occupied
1,States,Andhra Pradesh,207,24840.58,6323.03,940.86,420319,168429,8798,4802
2,States,Bihar,180,3911.72,1453.5,560.86,88317,47660,2659,2577
3,States,Chhattisg arh,69,2973.76,515.09,250.86,35179,16558,1970,1404
4,States,Goa,NA,1.12,0.22,0.22,11,10,11,11
5,States,Gujarat,174,10132.61,2205.85,1173.19,154360,107146,37135,29380
6,States,Haryana,5,349.53,226.53,121.71,4421,3277,1070,1067
7,States,Himachal Pradesh,36,221.92,96.52,36.83,4893,1401,25,25
8,States,Jammu & Kashmir,44,292.71,104.23,10.8,6250,366,83,83
9,States,Jharkhand,184,3031.25,1263.43,444.02,81681,43016,4285,3129
10,States,Karnataka,842,9257.64,3341.13,673.11,203082,80914,20512,15570
11,States,Kerala,106,1088.04,515.45,186.68,32530,10887,595,593
12,States,Madhya Pradesh,368,19448.68,4404.84,1416.51,286628,109171,5451,3358
13,States,Maharas htra,49,14035.12,2023.22,620.05,131081,46561,11503,11503
14,States,Orissa,116,2666.61,976.49,302.57,59515,18168,1643,1363
15,States,Punjab,329,1215.33,603.09,73.89,42845,600,336,336
16,States,Rajastha n,65,3192.75,787.46,361.31,44627,28223,12012,6582
17,States,TamilNad u,1634,11955.68,5082.21,1641.74,334517,146928,19454,17264
18,States,Telangan a,146,5004.17,1251.92,469.64,83036,43134,843,421
19,States,Uttar Pradesh,256,3253.14,1331.47,353.99,78287,5474,4903,4733
20,States,Uttrakhan d,41,517.72,202.39,96.86,8005,4238,1338,1322
21,States,West Bengal,153,5900.4,2180.23,884.86,144644,58465,11077,11077
Sub- Total (States),Sub- Total (States),Sub- Total (States),5004,123290.47,34888.28,10620.55,2244228,940626,145703,116600
22,North East States,Arunanch al Pradesh,5,98.16,78.44,57.03,1606,1606,1,1
23,North East States,Assam,47,1248.69,548.67,82.45,36565,69,69,69
24,North East States,Manipur,24,679.68,396.72,97.24,26451,1294,70,70
25,North East States,Meghala ya,8,33.02,11.51,0.68,764,58,24,24
26,North East States,Mizoram,9,222.93,165.29,17.2,10552,759,122,122
27,North East States,Nagaland,13,335.13,229.27,85.29,13560,1081,458,3
28,North East States,Sikkim,1,2,0.65,0.02,43,1,1,1
29,North East States,Tripura,24,1267.98,722.52,318.47,45968,40844,918,768
Sub- Total (NE States),Sub- Total (NE States),Sub- Total (NE States),131,3887.59,2153.07,658.38,135509,45712,1663,1058
30,Union Territories,A&N Island (UT),3,53.96,9.14,NA,609,NA,NA,NA
31,Union Territories,Chandiga rh (UT),NA,1.17,0.19,0.19,9,9,8,8
32,Union Territories,D&N Haveli (UT),1,36.57,14.47,2.83,918,115,103,103
33,Union Territories,Daman & Diu (UT),2,5.05,2.08,0.96,135,10,7,7
34,Union Territories,Delhi (UT),NA,42.42,6.97,6.97,388,388,294,294
35,Union Territories,Lakshdw eep (UT),NA,NA,NA,NA,NA,NA,NA,NA
36,Union Territories,Puducher ry (UT),6,162.92,58.01,23.38,3866,18,17,17
Sub- Total (UT),Sub- Total (UT),Sub- Total (UT),12,302.09,90.86,34.33,5925,540,429,429
Grand Total*,Grand Total*,Grand Total*,5147,127480.16,37270.84,11451.89,2392061,993278,157106,127398
